Age,Gender,Education,Marital Status,Residence Type,House Composition,Household Income,Country,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q7,Q8,Q8_4_TEXT,Q9,Q10,Participant_ID
35 - 44,Male,Postgraduate Degree,Married or domestic partnership,Single Family Detached Home,Family with young children (under 18),"Over €100,000",Netherlands,No,,No,I am not very interested in them,Energy Cost savings,Very important,Moderately important,Extremely important,Extremely unlikely,Other (please specify),I prefer to heat my home with wood,Up to € 500,No,4271
below 25,Female,Bachelors Degree,Single/never married,Single Family Detached Home,Family with adult children (18 or older),"€80,000 - €99,999",Netherlands,No,,No,I am somewhat interested in them,Energy Cost savings,Moderately important,Very important,Very important,Neither likely nor unlikely,High installation costs,,"More than € 2,000",Yes,8130
25 - 34,Female,Bachelors Degree,Single/never married,Single Family Detached Home,Multi-generational family,"€40,000 - €59,999",Netherlands,No,,No,I am somewhat interested in them,Comfort and Ease of use,Extremely important,Very important,Extremely important,Extremely unlikely,Other (please specify),Security concerns/hackable data,"Up to € 1,000",Yes,8273
55 - 65,Male,Bachelors Degree,Married or domestic partnership,Single Family Detached Home,Family with adult children (18 or older),"Over €100,000",Netherlands,Yes,I understand it very well,Yes,I am very interested in them,Environmental impact,Extremely important,Extremely important,Very important,Extremely unlikely,Other (please specify),I already posses the Quatt Hybrid Duo,"More than € 2,000",Yes,5650
,,Postgraduate Degree,Single/never married,Single Family Detached Home,Couple without children,"€40,000 - €59,999",Netherlands,No,,No,I am very interested in them,Energy Cost savings,Extremely important,Moderately important,Extremely important,Extremely likely,Concerns about maintenance and reliability,,"Up to € 1,000",,2649
25 - 34,Female,Postgraduate Degree,Single/never married,Single Family Detached Home,Couple without children,"€40,000 - €59,999",Netherlands,No,,No,I am very interested in them,Energy Cost savings,Extremely important,Moderately important,Extremely important,Extremely likely,High installation costs,,"Up to € 1,000",Yes,6363
35 - 44,Non-binary / third gender,Vocational Diploma,Single/never married,Single Family Detached Home,Single adult,"€20,000 - €39,999",Netherlands,No,,No,I am somewhat interested in them,Energy Cost savings,Moderately important,Moderately important,Extremely important,Neither likely nor unlikely,High installation costs,,Up to € 500,Yes,7272
25 - 34,Female,Postgraduate Degree,Married or domestic partnership,Apartment/Flat,Couple without children,"€20,000 - €39,999",Netherlands,No,,No,I am very interested in them,Energy Cost savings,Extremely important,Extremely important,Extremely important,Somewhat likely,High installation costs,,Up to € 500,Yes,8636
25 - 34,Male,Bachelors Degree,Single/never married,Apartment/Flat,Single adult,"€80,000 - €99,999",Netherlands,Yes,I have basic understanding of them,No,I am very interested in them,Energy efficiency,Very important,Very important,Extremely important,Somewhat likely,High installation costs,,Up to € 500,Yes,4032
25 - 34,Male,Postgraduate Degree,Single/never married,Apartment/Flat,Single adult,"Under €20,000",,No,,No,I am very interested in them,Energy Cost savings,Very important,Very important,Very important,Somewhat likely,High installation costs,,Up to € 500,Yes,1685
,Male,Postgraduate Degree,Single/never married,Apartment/Flat,Single adult,"€20,000 - €39,999",Netherlands,No,,No,I am very interested in them,Environmental impact,Extremely important,Extremely important,Very important,Extremely likely,Concerns about maintenance and reliability,,Up to € 500,Yes,9290
25 - 34,Female,Postgraduate Degree,Single/never married,Apartment/Flat,Single adult,"€80,000 - €99,999",Netherlands,No,,No,I am not at all interested in them,Energy Cost savings,Not at all important,Not at all important,Not at all important,Extremely unlikely,Other (please specify),Mistrust for AI,Up to € 500,No,8845
